original_index,ocsvm_score,ocsvm_prediction,severity_unified_original,severity_unified_binary
305,0.7837552804991219,normal,info,0
306,0.03531144100793426,normal,information,0
307,0.16900866161730832,normal,information,0
308,-1.233131163580481e-05,abnormal,information,0
309,0.16900866161730832,normal,information,0
310,0.00019455233506882053,normal,information,0
311,1.2155206003427228,normal,info,0
312,1.5387649260889944,normal,info,0
313,0.5586485317146401,normal,error,1
314,0.3374347119211514,normal,information,0
315,0.26862104252630026,normal,information,0
316,0.27679767675338773,normal,information,0
317,1.1722150254472918,normal,information,0
318,1.1400390935128204,normal,information,0
319,0.2759111621313508,normal,info,0
320,0.37009518927482077,normal,info,0
321,1.1288826383817394,normal,information,0
322,-0.00028057467743280995,abnormal,info,0
323,0.04656619190794409,normal,info,0
324,0.26862104252630026,normal,information,0
325,0.27679767675338773,normal,information,0
326,1.1722150254472918,normal,information,0
327,1.1400390935128204,normal,information,0
328,0.00020679674123336156,normal,info,0
329,0.24666044974907386,normal,info,0
330,0.2383127229903792,normal,info,0
331,1.183853775167707,normal,information,0
332,1.0141374414752278,normal,information,0
333,0.235872750727113,normal,information,0
334,1.1288826383817394,normal,information,0
335,0.8511313653239405,normal,info,0
336,0.4891678308209144,normal,info,0
337,0.44450901078984195,normal,information,0
338,1.050146050464317,normal,-,0
339,0.8823735290737513,normal,-,0
340,1.0844203224085813,normal,-,0
341,0.6649856792068007,normal,-,0
342,0.2596807626093369,normal,-,0
343,0.256709114807224,normal,-,0
344,0.2387034681688025,normal,-,0
345,0.3358336126269279,normal,-,0
346,0.4082414139771675,normal,-,0
347,0.3693574570000724,normal,-,0
348,0.3773776262566866,normal,-,0
349,0.3358336126269279,normal,-,0
350,0.30011199710278547,normal,-,0
351,0.2387034681688025,normal,-,0
352,0.2387034681688025,normal,-,0
353,0.3358336126269279,normal,-,0
354,0.08424614716568968,normal,-,0
355,0.22211532768963238,normal,-,0
356,0.38336352024981046,normal,-,0
357,0.3773776262566866,normal,-,0
358,0.3773776262566866,normal,-,0
359,0.4759448935317607,normal,-,0
360,0.3358336126269279,normal,-,0
361,0.24687401215572358,normal,-,0
362,0.2677195926829423,normal,-,0
363,0.4356802657358898,normal,-,0
364,0.4759448935317607,normal,-,0
365,0.3773776262566866,normal,-,0
366,0.3358336126269279,normal,-,0
367,0.2549914700317579,normal,-,0
368,0.2230377592253454,normal,-,0
369,0.25970303060894473,normal,-,0
370,0.5270049903245067,normal,-,0
371,0.2230377592253454,normal,-,0
372,0.462545531723638,normal,-,0
373,0.3517260022477213,normal,-,0
374,0.7203101773487148,normal,-,0
375,1.5898825250719586,normal,-,0
376,0.6105291260484584,normal,-,0
377,0.8121505925552217,normal,-,0
378,-0.1292672235272594,abnormal,-,0
379,0.2807883717625259,normal,-,0
380,1.008447297375609,normal,-,0
381,0.861215930115879,normal,-,0
382,0.48311616761391285,normal,-,0
383,0.07451075121023365,normal,-,0
384,1.1080737265425693,normal,-,0
385,0.9349670366844105,normal,-,0
386,1.1080737265425693,normal,-,0
387,0.38372132989445973,normal,-,0
388,0.42274856534651306,normal,-,0
389,0.11642540711153693,normal,-,0
390,0.7837444016447925,normal,-,0
391,0.6884176476549104,normal,-,0
392,0.8687401193945803,normal,-,0
393,0.37484902536065334,normal,-,0
394,0.06997990088879469,normal,-,0
395,0.31348086900008454,normal,-,0
