original_index,if_score,if_prediction,severity_unified_original,severity_unified_binary
94,0.14574812183128966,normal,-,0
95,0.1444247542934829,normal,-,0
96,0.1321424940394766,normal,-,0
97,0.0898349517232741,normal,-,0
98,0.1407589100464749,normal,-,0
99,0.12189392058646731,normal,-,0
100,0.1407589100464749,normal,-,0
101,0.10682370935552521,normal,-,0
102,0.10282747651274865,normal,-,0
103,0.14299998355073712,normal,-,0
104,0.15271281259789382,normal,-,0
105,0.11795021408670875,normal,-,0
106,0.07247069504159648,normal,-,0
107,0.0826574882091225,normal,-,0
108,0.0655934299149053,normal,-,0
109,0.08436866842656182,normal,-,0
110,0.0874671786879575,normal,-,0
111,0.062186353089689894,normal,-,0
112,0.08239791307248279,normal,-,0
113,0.07920561478645555,normal,-,0
114,0.09013226893054543,normal,-,0
115,0.13136563205979296,normal,-,0
116,0.123024809228589,normal,-,0
117,0.13903805741927333,normal,-,0
118,0.1355170347097323,normal,-,0
119,0.11908231869711172,normal,-,0
120,0.13522708817328793,normal,-,0
121,0.13802176629225887,normal,-,0
122,0.13941794942792857,normal,-,0
123,0.05536347146655474,normal,-,0
124,0.1497940686817994,normal,-,0
125,-0.24781840540543199,abnormal,notification,0
126,0.07045541746300821,normal,info,0
127,0.06801298054941723,normal,info,0
128,0.09620583873800387,normal,information,0
129,-0.08024828460263744,abnormal,information,0
130,0.017370866333820456,normal,information,0
131,0.023112261713460036,normal,information,0
132,0.02396391917728591,normal,information,0
133,-0.06591356978631802,abnormal,Error,1
134,0.0450421982876571,normal,info,0
135,0.04805216160871095,normal,information,0
136,-0.10435849467416447,abnormal,Notice,0
137,0.023112261713460036,normal,information,0
138,0.02396391917728591,normal,information,0
139,0.017370866333820456,normal,information,0
140,-0.010682974972240578,abnormal,information,0
141,9.045895144554894e-05,normal,information,0
142,-0.06378691009447846,abnormal,information,0
143,-0.013087531666181373,abnormal,information,0
144,0.025491807480987172,normal,information,0
145,0.04459206248421921,normal,information,0
146,-0.15767759180919427,abnormal,information,0
147,-0.05791655009952279,abnormal,information,0
148,0.017370866333820456,normal,information,0
149,0.023112261713460036,normal,information,0
150,0.02396391917728591,normal,information,0
151,-0.10809218288898259,abnormal,Notice,0
152,-0.05424064426643116,abnormal,Error,1
153,-0.1662675236263117,abnormal,-,0
154,0.0937127138666301,normal,info,0
155,0.0944358835096129,normal,info,0
156,0.07401742458035293,normal,information,0
157,0.03815644898569831,normal,info,0
158,0.04240472190902839,normal,info,0
159,0.09620583873800387,normal,information,0
160,0.089571263089401,normal,info,0
161,-0.006305168607926515,abnormal,information,0
162,0.01535520214731223,normal,information,0
163,-0.11056320599626757,abnormal,information,0
164,-0.023405164582181448,abnormal,information,0
165,0.01535520214731223,normal,information,0
166,0.04859320758846292,normal,information,0
167,0.050417053948592194,normal,information,0
168,0.04942915597786118,normal,information,0
169,0.038253010882025484,normal,information,0
170,0.09620583873800387,normal,information,0
171,0.04859320758846292,normal,information,0
172,0.050417053948592194,normal,information,0
173,0.04942915597786118,normal,information,0
174,0.038253010882025484,normal,information,0
175,0.11199558689276434,normal,info,0
176,0.10400930914459594,normal,info,0
177,0.06255195960373777,normal,information,0
178,0.07598375311294508,normal,info,0
179,0.07496913832762842,normal,info,0
180,0.09620583873800387,normal,information,0
181,0.035655261584857934,normal,info,0
182,0.03722523820363388,normal,info,0
183,0.0450421982876571,normal,info,0
184,0.04734534750351321,normal,information,0
185,0.06724195318479892,normal,info,0
186,0.0776009142561393,normal,info,0
187,0.05555464054678638,normal,information,0
188,0.09620583873800387,normal,information,0
189,0.1497940686817994,normal,-,0
190,0.14318886701473582,normal,-,0
191,0.14493045614326988,normal,-,0
192,0.1572830381899311,normal,-,0
193,0.16890556389462297,normal,-,0
194,0.1609389421457173,normal,-,0
195,0.16579728941614447,normal,-,0
196,0.16508862664834478,normal,-,0
197,0.15897019379641186,normal,-,0
198,0.1543128818067906,normal,-,0
199,0.1705597105324264,normal,-,0
200,0.16508862664834478,normal,-,0
201,0.16455977941749378,normal,-,0
202,0.16579728941614447,normal,-,0
203,0.16579728941614447,normal,-,0
204,0.16508862664834478,normal,-,0
205,0.1550844741482515,normal,-,0
206,0.14386974472170488,normal,-,0
207,0.1689567460018071,normal,-,0
208,0.1705597105324264,normal,-,0
209,0.1705597105324264,normal,-,0
210,0.170820127146123,normal,-,0
211,0.16508862664834478,normal,-,0
212,0.16777430127961918,normal,-,0
213,0.16780391870667138,normal,-,0
214,0.15387632487894504,normal,-,0
215,0.170820127146123,normal,-,0
216,0.1705597105324264,normal,-,0
217,0.16508862664834478,normal,-,0
218,0.16572993027814237,normal,-,0
219,0.1674739808285569,normal,-,0
220,0.15199057038274288,normal,-,0
221,0.15534493026749435,normal,-,0
222,0.1674739808285569,normal,-,0
223,0.15778480618948093,normal,-,0
224,0.16834804456826308,normal,-,0
225,0.1639011700151055,normal,-,0
226,0.15662616299426035,normal,-,0
227,0.16508862664834478,normal,-,0
228,0.16230440559970138,normal,-,0
229,0.14899379597890294,normal,-,0
230,0.16065065346970475,normal,-,0
231,0.15291945003960827,normal,-,0
232,0.1705597105324264,normal,-,0
233,0.1705597105324264,normal,-,0
234,0.14298136573047054,normal,-,0
235,0.16833812354548428,normal,-,0
236,0.14975630282086294,normal,-,0
237,0.14130131722664668,normal,-,0
238,0.137317240792793,normal,-,0
239,0.15271281259789382,normal,-,0
240,0.13184299086204665,normal,-,0
241,0.11624582093621888,normal,-,0
242,0.14265409886981067,normal,-,0
243,0.1523216747559138,normal,-,0
244,0.13798372679640464,normal,-,0
245,0.1009536652174754,normal,-,0
246,0.1423664115555432,normal,-,0
247,0.12725171488978465,normal,-,0
248,0.1423664115555432,normal,-,0
249,0.1129872985270226,normal,-,0
250,0.11163344678707354,normal,-,0
251,0.14299998355073712,normal,-,0
252,0.07247069504159648,normal,-,0
253,0.0826574882091225,normal,-,0
254,0.048952821172391414,normal,-,0
255,0.08436866842656182,normal,-,0
256,0.0874671786879575,normal,-,0
257,0.06127526603019323,normal,-,0
258,0.08605209773298239,normal,-,0
259,0.07850058531937315,normal,-,0
260,0.09013226893054543,normal,-,0
261,0.13681146284393225,normal,-,0
262,0.13941794942792857,normal,-,0
263,0.14154680041547718,normal,-,0
264,0.14251511803332012,normal,-,0
265,0.13242515754202794,normal,-,0
266,0.14348152594873537,normal,-,0
267,0.13802176629225887,normal,-,0
268,0.06820704244896941,normal,-,0
269,-0.06462095277877089,abnormal,Error,1
270,0.07045541746300821,normal,info,0
271,0.06801298054941723,normal,info,0
272,0.06813457463958722,normal,information,0
273,0.0021053604170867546,normal,information,0
274,-0.09324423067256482,abnormal,info,0
275,-0.08902288940188063,abnormal,info,0
276,-0.04648561776469118,abnormal,info,0
277,-0.08024828460263744,abnormal,information,0
278,0.01041863999750714,normal,information,0
279,-0.01774885067906351,abnormal,information,0
280,-0.018064843469025815,abnormal,information,0
281,0.005398428921816967,normal,information,0
282,0.0450421982876571,normal,info,0
283,-0.06722986448985335,abnormal,Error,1
284,0.07802977623079665,normal,information,0
285,0.058107334251634946,normal,information,0
286,-0.0019372322285358123,abnormal,information,0
287,0.025491807480987172,normal,information,0
288,-0.04544096212491666,abnormal,information,0
289,-0.003959468991704296,abnormal,information,0
290,0.025491807480987172,normal,information,0
291,0.0716312406057304,normal,information,0
292,0.09778842367207963,normal,info,0
293,0.10072850395498256,normal,info,0
294,0.07994282378945222,normal,information,0
295,0.10563575420398685,normal,info,0
296,0.10148443122128703,normal,info,0
297,0.07994282378945222,normal,information,0
298,0.04693679925747346,normal,information,0
299,0.0937127138666301,normal,info,0
300,0.0944358835096129,normal,info,0
301,0.06410235359108712,normal,information,0
302,0.034841096386785175,normal,info,0
303,0.03581709674318151,normal,info,0
304,0.09620583873800387,normal,information,0
305,0.089571263089401,normal,info,0
306,-0.003564534955387222,abnormal,information,0
307,0.03786091339699943,normal,information,0
308,0.010484434685922306,normal,information,0
309,0.03786091339699943,normal,information,0
310,-0.07652125370288321,abnormal,information,0
311,0.10400930914459594,normal,info,0
312,0.11199558689276434,normal,info,0
313,0.02430633744386157,normal,error,1
314,0.05553493615996996,normal,information,0
315,0.05445494087503683,normal,information,0
316,0.0517949948915013,normal,information,0
317,0.04942915597786118,normal,information,0
318,0.04525867570759107,normal,information,0
319,0.0653253747920185,normal,info,0
320,0.07058611371284479,normal,info,0
321,0.09620583873800387,normal,information,0
322,0.035655261584857934,normal,info,0
323,0.03722523820363388,normal,info,0
324,0.05445494087503683,normal,information,0
325,0.0517949948915013,normal,information,0
326,0.04942915597786118,normal,information,0
327,0.04525867570759107,normal,information,0
328,0.0450421982876571,normal,info,0
329,0.06724195318479892,normal,info,0
330,0.0776009142561393,normal,info,0
331,0.06813457463958722,normal,information,0
332,0.030568980652111055,normal,information,0
333,0.05555464054678638,normal,information,0
334,0.09620583873800387,normal,information,0
335,0.09181398671704699,normal,info,0
336,0.0944638857044906,normal,info,0
337,0.05885798646132673,normal,information,0
338,0.14310757392798418,normal,-,0
339,0.14785838283462,normal,-,0
340,0.14042776452285588,normal,-,0
341,0.16214999939643798,normal,-,0
342,0.17217560186610903,normal,-,0
343,0.1642094823251607,normal,-,0
344,0.16976101424890983,normal,-,0
345,0.16498105925738626,normal,-,0
346,0.15459879959333994,normal,-,0
347,0.15555109165938236,normal,-,0
348,0.1747074778726691,normal,-,0
349,0.16498105925738626,normal,-,0
350,0.16836658521940262,normal,-,0
351,0.16976101424890983,normal,-,0
